employee_id,employee_name,restaurant_id,shift_start,shift_end,gender,workload,employee_satisfaction,burnout,avg_sale_per_hour,day_of_week,avg_traffic
1,Andrew Kelley,3,07:00:00,16:00:00,Male,1.25,10,0,110.69,Friday,50
2,Annette Collins,2,12:00:00,21:00:00,Female,0.78,6,4,134.89,Saturday,17
3,Nicholas Parks,1,08:00:00,17:00:00,Female,1.11,5,5,281.8,Monday,5
4,Eric Smith,1,07:00:00,16:00:00,Male,1.18,2,8,501.66,Monday,9
5,John Williams,1,05:00:00,14:00:00,Female,1.21,9,1,196.97,Saturday,18
6,Shawn Morgan,3,12:00:00,21:00:00,Female,21.06,6,4,111.43,Monday,31
7,Dr. Hannah Johnson,3,05:00:00,14:00:00,Male,2.3,4,6,271.97,Tuesday,3
8,Tyler Williams,3,10:00:00,19:00:00,Female,1.56,2,8,224.44,Thursday,7
9,Jamie Lozano,3,08:00:00,17:00:00,Male,0.64,5,5,288.87,Friday,11
10,Kristy Campbell,2,06:00:00,15:00:00,Male,2.7,5,5,129.79,Sunday,16
11,Ryan Owens,2,07:00:00,16:00:00,Male,1.2,5,5,477.81,Sunday,11
12,Antonio Fields,1,07:00:00,16:00:00,Female,0.8,6,4,373.11,Wednesday,15
13,Emily Johnson,3,12:00:00,21:00:00,Female,1.65,1,9,407.44,Sunday,11
14,Joy Smith,1,10:00:00,19:00:00,Female,2.94,10,0,243.04,Friday,44
15,Michelle Gordon,3,10:00:00,19:00:00,Male,1.08,1,9,182.93,Friday,18
16,Brett Boone,2,07:00:00,16:00:00,Male,0.82,4,6,492.42,Wednesday,28
17,Megan Johnson,3,06:00:00,15:00:00,Female,1.18,9,1,550.85,Thursday,29
18,Susan Morris,1,15:00:00,00:00:00,Male,1.67,1,9,214.06,Tuesday,25
19,Courtney Carlson,3,08:00:00,17:00:00,Male,1.18,8,2,229.94,Sunday,44
20,Katherine Chavez,3,12:00:00,21:00:00,Female,9.89,1,9,133.53,Wednesday,34
21,Ann Hardin,2,12:00:00,21:00:00,Female,1.7,3,7,284.01,Sunday,19
22,Lisa Taylor,3,07:00:00,16:00:00,Female,0.81,6,4,379.29,Saturday,27
23,Bradley Long,2,07:00:00,16:00:00,Female,2.5,4,6,402.24,Saturday,36
24,Krystal Williams,2,05:00:00,14:00:00,Female,1.09,8,2,560.85,Friday,13
25,Michelle Woodward,2,11:00:00,20:00:00,Female,4.38,9,1,114.65,Tuesday,46
26,Miguel Gallagher,2,06:00:00,15:00:00,Female,1.55,2,8,430.15,Saturday,35
27,April Yates,2,09:00:00,18:00:00,Female,3.76,8,2,178.55,Sunday,36
28,Michael Ross,3,14:00:00,23:00:00,Male,10.76,5,5,204.65,Tuesday,50
29,Isabella Martinez,2,12:00:00,21:00:00,Male,24.34,2,8,395.45,Friday,43
30,Brian Morrison,2,08:00:00,17:00:00,Male,1.32,8,2,507.99,Tuesday,31
31,Candace Cole,1,07:00:00,16:00:00,Female,1.62,4,6,179.94,Thursday,14
32,Stephanie Young,2,15:00:00,00:00:00,Male,1.18,7,3,386.19,Saturday,25
33,Melissa Harris,3,06:00:00,15:00:00,Male,2.71,1,9,159.1,Wednesday,48
34,Jason Edwards,1,09:00:00,18:00:00,Male,3.1,8,2,342.38,Monday,34
35,Theresa Robinson,3,11:00:00,20:00:00,Female,0.83,6,4,276.27,Saturday,16
36,Perry Murphy,1,09:00:00,18:00:00,Female,1.56,9,1,124.2,Wednesday,36
37,Debra Ramos,3,10:00:00,19:00:00,Male,1.2,10,0,317.65,Monday,37
38,Jennifer Norris,1,12:00:00,21:00:00,Female,0.61,6,4,558.06,Monday,28
39,Beth Cunningham,2,08:00:00,17:00:00,Male,24.6,10,0,278.62,Tuesday,4
40,Andrea Simpson,3,13:00:00,22:00:00,Male,1.69,3,7,577.79,Wednesday,43
41,Steve Martin,3,09:00:00,18:00:00,Female,0.66,7,3,486.63,Tuesday,16
42,Jennifer Hernandez,2,06:00:00,15:00:00,Male,1.61,6,4,407.5,Sunday,33
43,Kevin Larson Jr.,1,07:00:00,16:00:00,Female,3.06,9,1,225.47,Saturday,32
44,Christopher Herman,2,07:00:00,16:00:00,Female,2.74,4,6,498.3,Friday,47
45,Kelly Hernandez,3,08:00:00,17:00:00,Male,1.25,2,8,333.74,Friday,18
46,Robert Gonzalez,1,13:00:00,22:00:00,Male,5.24,2,8,329.23,Tuesday,7
47,Nicholas Wood,3,07:00:00,16:00:00,Female,0.78,4,6,391.64,Thursday,6
48,Stephanie Edwards,3,05:00:00,14:00:00,Female,1.26,5,5,130.84,Tuesday,12
49,Brian Meyer,3,14:00:00,23:00:00,Male,1.01,2,8,598.09,Wednesday,20
50,Billy Blanchard,1,12:00:00,21:00:00,Female,5.42,6,4,263.31,Thursday,39
